, bonus ,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,to_from_Poi,loan_advances,long_term_incentive,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages,total_payments,total_stock_value
65," $7,000,000.00 ",202911,-300000,0,34348384,99832,36,123,16,139,81525000,3600000,14761694,0,1072321,2411,4273,103559793,49110078
125, $-   ,10259,0,0,30766064,77978,0,0,0,0,0,0,0,0,0,0,0,91093,30766064
94," $5,600,000.00 ",0,0,0,19250000,29336,108,88,30,118,0,1920000,6843672,0,1111258,2042,3627,8682716,26093672
129," $1,000,000.00 ",0,0,0,15364167,32047,0,0,0,0,0,0,8453763,0,261879,0,0,3123383,23817930
88," $1,750,000.00 ",0,-3504386,0,19794175,46950,18,42,4,46,0,1617011,2748364,0,420636,864,905,505050,22542539
106," $450,000.00 ",0,0,0,1297049,81353,0,0,0,0,0,0,13847074,0,317543,0,0,1934359,15144123
128," $2,000,000.00 ",6426990,-3367011,0,10433518,86987,21,242,6,248,2000000,1617011,4188667,0,1060932,2979,3275,17252530,14622185
124, $-   ,0,0,0,8308552,53947,0,0,0,0,0,0,3576206,0,158403,0,0,360300,11884758
1," $1,200,000.00 ",1295738,-1386055,0,6680544,11200,0,0,0,0,0,1586055,3942714,0,267102,0,0,5634343,10623258
127," $800,000.00 ",0,-1284000,0,8831913,51124,909,64,20,84,0,484000,1787380,-1787380,492375,1401,2181,550981,8831913
116," $1,000,000.00 ",0,0,0,8191755,35812,0,0,0,0,0,694862,126027,0,262788,0,0,2368151,8317782
80, $-   ,0,0,0,7509039,14689,221,204,49,253,0,0,381285,0,96840,1063,1671,111529,7890324
91, $-   ,0,0,0,5266578,18834,0,0,0,0,0,135836,2041016,0,94941,0,0,249787,7307594
8, $-   ,3131860,0,0,5210569,0,1073,44,15,59,0,0,2046079,0,0,1074,2350,3131860,7256648
2," $350,000.00 ",0,-400729,0,4890344,78552,0,0,0,0,0,0,1788391,0,170941,0,0,211725,6678735
4," $1,500,000.00 ",0,-3117011,0,5538001,34039,32,32,21,53,0,1617011,853064,0,243293,1035,1045,288682,6391065
102," $1,000,000.00 ",0,0,0,2022048,41953,6759,140,387,527,0,300000,4131594,0,404338,3639,12754,1747522,6153642
57," $3,000,000.00 ",0,0,0,3282960,57838,556,186,24,210,0,808346,2796177,0,510364,3920,6019,4677574,6079137
107, $-   ,0,0,0,5127155,0,0,0,0,0,0,0,950730,0,0,0,0,0,6077885
21," $850,000.00 ",0,0,0,4346544,50936,146,17,0,17,0,540751,1552453,0,357091,215,671,1798780,5898997
136, $-   ,0,0,0,2165172,28093,19,28,5,33,0,312500,3654808,0,85274,437,496,1979596,5819980
49, $-   ,0,-5104,0,4046157,56301,29,39,0,39,0,0,1757552,-560222,477,465,566,916197,5243487
